index,ko,en_translate,en_final
0,여자 상의,women's top,women's top
1,여자 구두, anklet,women shoe
2,여자 아이 가방, girl bag, girl bag
3,남자 신발, men's shoes, men's shoes
4,여자 구두, anklet,open toe shoes
5,장난감 시계, toy watch, toy watch
6,야한 여자 옷, sexy girl clothes, sexy girl clothes
7,남자 긴팔, men's long sleeves, men's long sleeves
8,여자 보정 속옷, women's correction underwear,body shaper
9,캐쥬얼 신발, casual shoes, casual shoes
10,여자 아이 바지, girl pants, girl pants
11,여자 외투, woman overcoat, woman overcoat
12,여자 아이 신발, girls kids shoes, girls kids shoes
13,정장 양말, formal socks, formal socks
14,남자 츄리닝 바지, men's sweatpants, men's sweatpants
15,안경, glasses, glasses
16,남자 구두, men's shoes,mens suit shoes
17,아이 겨울 모자, kids winter hat, kids winter hat
18,여자 속옷, women's underwear, women's underwear
19,아이 상의, kids top, kids top
20,성인 남자 신발, adult men's shoes,mens oxford shoe
21,성인 남자 지갑, adult men's wallet,men's wallet
22,성인 남자 운동화, adult men's sneakers,men's sneakers
23,성인 여자 상의, adult womens tops,womens tops
24,성인 남자 삼각팬티, Adult Men's Triangle Shorts,mens briefs
25,머리핀, hairpin, hairpin
26,성인 여자 자켓, adult woman jacket,woman jacket
27,여자 겨울 신발, women's winter shoes,winter shoes
28,귀걸이, earring, earring
29,남자 성인 백팩, men's adult backpack,mens backpack
30,여자 가을옷, women's fall clothes,women's fall clothes
31,공용 조끼, public vest,vest
32,레깅스, Leggings, Leggings
33,우산, umbrella, umbrella
34,아이 마스크, eye mask,kids mask
35,아이 운동화, kids sneakers, kids sneakers
36,성인 여자 드레스, adult woman dress,woman casual dress
37,실내화, Indoor shoes,slippers
38,여행용품, travel goods,Travel Accessories
39,트레이닝 바지, training pants, training pants
40,트레이닝 반바지, training shorts, training shorts
41,성인 여자 겨울 신발, Adult Women's Winter Shoes,Women's Winter Shoes
42,여자 아이 신발, girls kids shoes,girls kids shoes
43,아이 상의, kids top, kids top
44,남자 와이셔츠, men's shirts, men's shirts
45,장신구, accessories, accessories
46,캐쥬얼 모자, casual hat,casual cap
47,브레지어,bra,bra
48,여자 겨울 구두, women's winter shoes,women's leather shoes
49,보호대, guard,wrist guard